	mean	sd	hpd_5%	hpd_95%	mcse_mean	mcse_sd	ess_mean	ess_sd	ess_bulk	ess_tail	r_hat
ŷ[81]	0.746	0.038	0.681	0.806	0.0	0.0	18193.0	18193.0	18249.0	8351.0	1.0
ŷ[82]	0.746	0.038	0.681	0.806	0.0	0.0	18193.0	18193.0	18249.0	8351.0	1.0
ŷ[83]	0.746	0.038	0.681	0.806	0.0	0.0	18193.0	18193.0	18249.0	8351.0	1.0
ŷ[84]	0.746	0.038	0.681	0.806	0.0	0.0	18193.0	18193.0	18249.0	8351.0	1.0
ŷ[85]	0.625	0.061	0.524	0.722	0.0	0.0	16959.0	16608.0	16886.0	7047.0	1.0
ŷ[86]	0.625	0.061	0.524	0.722	0.0	0.0	16959.0	16608.0	16886.0	7047.0	1.0
ŷ[87]	0.729	0.065	0.623	0.835	0.001	0.0	16190.0	16190.0	16097.0	7869.0	1.0
ŷ[88]	0.698	0.047	0.62	0.774	0.0	0.0	18570.0	18570.0	18766.0	8079.0	1.0
ŷ[89]	0.698	0.047	0.62	0.774	0.0	0.0	18570.0	18570.0	18766.0	8079.0	1.0
ŷ[90]	0.698	0.047	0.62	0.774	0.0	0.0	18570.0	18570.0	18766.0	8079.0	1.0
ŷ[91]	0.502	0.053	0.417	0.592	0.0	0.0	12405.0	12393.0	12386.0	9210.0	1.0
ŷ[92]	0.698	0.051	0.617	0.786	0.001	0.0	9227.0	9221.0	9240.0	8732.0	1.0
ŷ[93]	0.673	0.045	0.598	0.746	0.0	0.0	8077.0	8077.0	8057.0	7888.0	1.0
ŷ[94]	0.829	0.033	0.776	0.882	0.0	0.0	11152.0	11152.0	11280.0	7996.0	1.0
ŷ[95]	0.732	0.063	0.631	0.838	0.001	0.0	14799.0	14799.0	14984.0	7759.0	1.0
ŷ[96]	0.671	0.071	0.555	0.787	0.001	0.0	15787.0	15750.0	15797.0	7921.0	1.0
ŷ[97]	0.682	0.07	0.568	0.798	0.001	0.0	17944.0	17944.0	18130.0	8263.0	1.0
ŷ[98]	0.585	0.064	0.484	0.695	0.0	0.0	17554.0	17274.0	17503.0	8045.0	1.0
ŷ[99]	0.601	0.076	0.477	0.725	0.001	0.0	17254.0	16890.0	17611.0	7672.0	1.0
ŷ[100]	0.72	0.044	0.648	0.79	0.0	0.0	13049.0	13049.0	13083.0	9021.0	1.0
ŷ[101]	0.563	0.065	0.456	0.667	0.0	0.0	18635.0	18635.0	18710.0	8063.0	1.0
ŷ[102]	0.492	0.08	0.362	0.625	0.001	0.0	16483.0	15581.0	16438.0	8410.0	1.0
ŷ[103]	0.514	0.081	0.382	0.647	0.001	0.0	14469.0	14012.0	14469.0	7992.0	1.0
ŷ[104]	0.728	0.042	0.661	0.797	0.0	0.0	12825.0	12825.0	12897.0	8728.0	1.0
ŷ[105]	0.603	0.063	0.503	0.711	0.001	0.0	14071.0	14071.0	14128.0	8775.0	1.0
ŷ[106]	0.794	0.04	0.729	0.858	0.0	0.0	12801.0	12797.0	12764.0	7400.0	1.0
ŷ[107]	0.771	0.036	0.713	0.829	0.0	0.0	19233.0	19233.0	19271.0	8503.0	1.0
ŷ[108]	0.771	0.036	0.713	0.829	0.0	0.0	19233.0	19233.0	19271.0	8503.0	1.0
ŷ[109]	0.771	0.036	0.713	0.829	0.0	0.0	19233.0	19233.0	19271.0	8503.0	1.0
ŷ[110]	0.771	0.036	0.713	0.829	0.0	0.0	19233.0	19233.0	19271.0	8503.0	1.0
ŷ[111]	0.656	0.058	0.564	0.752	0.0	0.0	17158.0	16743.0	17001.0	7248.0	1.0
ŷ[112]	0.656	0.058	0.564	0.752	0.0	0.0	17158.0	16743.0	17001.0	7248.0	1.0
ŷ[113]	0.754	0.061	0.66	0.858	0.0	0.0	15606.0	15606.0	15685.0	7314.0	1.0
ŷ[114]	0.725	0.045	0.651	0.798	0.0	0.0	19640.0	19640.0	19717.0	7171.0	1.0
ŷ[115]	0.725	0.045	0.651	0.798	0.0	0.0	19640.0	19640.0	19717.0	7171.0	1.0
ŷ[116]	0.725	0.045	0.651	0.798	0.0	0.0	19640.0	19640.0	19717.0	7171.0	1.0
ŷ[117]	0.181	0.052	0.09	0.259	0.0	0.0	13532.0	12001.0	13760.0	7416.0	1.0
ŷ[118]	0.408	0.079	0.282	0.543	0.001	0.0	16237.0	14982.0	16266.0	7878.0	1.0
ŷ[119]	0.751	0.035	0.696	0.809	0.0	0.0	14101.0	14076.0	14084.0	9097.0	1.0
ŷ[120]	0.751	0.035	0.696	0.809	0.0	0.0	14101.0	14076.0	14084.0	9097.0	1.0
ŷ[121]	0.751	0.035	0.696	0.809	0.0	0.0	14101.0	14076.0	14084.0	9097.0	1.0
ŷ[122]	0.751	0.035	0.696	0.809	0.0	0.0	14101.0	14076.0	14084.0	9097.0	1.0
ŷ[123]	0.751	0.035	0.696	0.809	0.0	0.0	14101.0	14076.0	14084.0	9097.0	1.0
ŷ[124]	0.736	0.049	0.656	0.816	0.0	0.0	16586.0	16586.0	16625.0	8290.0	1.0
ŷ[125]	0.736	0.049	0.656	0.816	0.0	0.0	16586.0	16586.0	16625.0	8290.0	1.0
ŷ[126]	0.204	0.057	0.11	0.293	0.0	0.0	13004.0	11734.0	13176.0	7823.0	1.0
ŷ[127]	0.329	0.073	0.21	0.451	0.001	0.0	15598.0	14260.0	15802.0	7973.0	1.0
ŷ[128]	0.676	0.04	0.611	0.743	0.0	0.0	14281.0	14275.0	14272.0	8941.0	1.0
ŷ[129]	0.676	0.04	0.611	0.743	0.0	0.0	14281.0	14275.0	14272.0	8941.0	1.0
ŷ[130]	0.676	0.04	0.611	0.743	0.0	0.0	14281.0	14275.0	14272.0	8941.0	1.0
ŷ[131]	0.676	0.04	0.611	0.743	0.0	0.0	14281.0	14275.0	14272.0	8941.0	1.0
ŷ[132]	0.676	0.04	0.611	0.743	0.0	0.0	14281.0	14275.0	14272.0	8941.0	1.0
ŷ[133]	0.659	0.057	0.567	0.754	0.0	0.0	16726.0	16697.0	16788.0	7721.0	1.0
ŷ[134]	0.659	0.057	0.567	0.754	0.0	0.0	16726.0	16697.0	16788.0	7721.0	1.0
ŷ[135]	0.272	0.069	0.155	0.379	0.001	0.0	14611.0	12990.0	14844.0	7188.0	1.0
ŷ[136]	0.377	0.077	0.246	0.499	0.001	0.0	16454.0	15178.0	16566.0	7679.0	1.0
ŷ[137]	0.744	0.035	0.69	0.804	0.0	0.0	14875.0	14875.0	14890.0	8475.0	1.0
ŷ[138]	0.744	0.035	0.69	0.804	0.0	0.0	14875.0	14875.0	14890.0	8475.0	1.0
ŷ[139]	0.744	0.035	0.69	0.804	0.0	0.0	14875.0	14875.0	14890.0	8475.0	1.0
ŷ[140]	0.744	0.035	0.69	0.804	0.0	0.0	14875.0	14875.0	14890.0	8475.0	1.0
ŷ[141]	0.744	0.035	0.69	0.804	0.0	0.0	14875.0	14875.0	14890.0	8475.0	1.0
ŷ[142]	0.729	0.05	0.648	0.811	0.0	0.0	17849.0	17849.0	17891.0	7809.0	1.0
ŷ[143]	0.729	0.05	0.648	0.811	0.0	0.0	17849.0	17849.0	17891.0	7809.0	1.0
ŷ[144]	0.254	0.04	0.184	0.314	0.0	0.0	10415.0	10288.0	10442.0	8570.0	1.0
ŷ[145]	0.409	0.05	0.325	0.489	0.001	0.0	8720.0	8692.0	8718.0	8587.0	1.0
ŷ[146]	0.627	0.053	0.541	0.713	0.0	0.0	14073.0	14073.0	14139.0	7866.0	1.0
ŷ[147]	0.719	0.064	0.619	0.829	0.0	0.0	17117.0	17117.0	17542.0	6880.0	1.0
ŷ[148]	0.569	0.078	0.437	0.696	0.001	0.0	15372.0	15240.0	15471.0	8309.0	1.0
ŷ[149]	0.671	0.056	0.579	0.762	0.0	0.0	17876.0	17369.0	17555.0	7236.0	1.0
ŷ[150]	0.671	0.056	0.579	0.762	0.0	0.0	17876.0	17369.0	17555.0	7236.0	1.0
ŷ[151]	0.359	0.052	0.276	0.445	0.001	0.0	9488.0	9488.0	9473.0	8531.0	1.0
ŷ[152]	0.533	0.052	0.443	0.616	0.001	0.0	9263.0	9060.0	9250.0	8579.0	1.0
ŷ[153]	0.628	0.052	0.538	0.71	0.0	0.0	14487.0	14446.0	14528.0	8053.0	1.0
ŷ[154]	0.715	0.065	0.609	0.821	0.0	0.0	17383.0	17383.0	17555.0	6226.0	1.0
ŷ[155]	0.565	0.079	0.439	0.697	0.001	0.0	15447.0	15275.0	15505.0	7861.0	1.0
ŷ[156]	0.667	0.056	0.58	0.762	0.0	0.0	17011.0	16966.0	17088.0	7154.0	1.0
ŷ[157]	0.667	0.056	0.58	0.762	0.0	0.0	17011.0	16966.0	17088.0	7154.0	1.0
ŷ[158]	0.411	0.053	0.326	0.501	0.0	0.0	13857.0	13845.0	13857.0	9197.0	1.0
ŷ[159]	0.587	0.05	0.507	0.67	0.0	0.0	11867.0	11762.0	11873.0	9460.0	1.0
ŷ[160]	0.64	0.051	0.561	0.73	0.0	0.0	15813.0	15813.0	15882.0	9257.0	1.0
ŷ[161]	0.748	0.061	0.65	0.846	0.0	0.0	16274.0	16274.0	16867.0	6567.0	1.0
ŷ[162]	0.605	0.077	0.484	0.737	0.001	0.0	15690.0	15675.0	15810.0	8406.0	1.0
ŷ[163]	0.703	0.053	0.619	0.793	0.0	0.0	17451.0	17105.0	17096.0	7463.0	1.0
ŷ[164]	0.703	0.053	0.619	0.793	0.0	0.0	17451.0	17105.0	17096.0	7463.0	1.0
ŷ[165]	0.191	0.035	0.134	0.246	0.0	0.0	7859.0	7858.0	7856.0	8121.0	1.0
ŷ[166]	0.324	0.045	0.246	0.396	0.001	0.0	8164.0	8164.0	8171.0	8847.0	1.0
ŷ[167]	0.537	0.08	0.405	0.668	0.001	0.0	18167.0	17724.0	18141.0	7732.0	1.0
